Name,Description,URL,Category,,Purpose,Activities,Tags,Digital Harms Addressed,Tech Focus,Supported identity technologies,Parent Org,Me2B Participation,People,Audience,Partners,Working group,License,,Version or Edition,Date Begun,Date Ended,Status,,,Scope,Location(s),,Twitter Profile,,Github Profile,Relevant Publications
Lumen Database ,The Lumen database collects and analyzes legal complaints and requests for removal of online materials: helping Internet users to know their rights and understand the law. These data enable us to study the prevalence of legal threats and let Internet users see the source of content removals.,https://lumendatabase.org/,,,education: Consumer support,Consumer Support,,,,,,,,,,,,,,,,Inactive,,,,,,,,
OnlineCensorship.org,"Onlinecensorship.org seeks to encourage companies to operate with greater transparency and accountability toward their users as they make decisions that regulate speech. We offer resources: information on how to appeal different media platforms: and original research on what content is taken down: why companies make certain decisions about content: and how content takedowns are affecting communities around the world. Has your post: photo: status: video or tweet been blocked or deleted?
onlinecensorship.org gives social media users a place to report takedown notices and catalog content that has been removed. Simply follow our easy submission process to let us know how a platform has censored your content. ",https://onlinecensorship.org/,service,,Consumer support, ,,,,,Electronic Frontier Foundation; Visualizing Impact,Content source for Me2B Certification?,,,,,,,,,,Active,,,,,,,,
Meaningful Consent in the Digital Economy (MCDE),,http://www.meaningfulconsent.org,research,,,,,,,,South Hampton University,,,,,,,,,2014,2017,Inactive,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terms of Service Didn't Read,ToS Rating system,https://tosdr.org/ ,Terms: Service,,,,,,,,Terms of Service Didn't Read,,,,,,,,,,,,,,,,,,,
TermSafe,"TermSAFE Certification that ToS are safe to click ""yes""",http://termsafe.com/,Terms: Service,,,,,,,,TermSafe,,,,,,,,,,,,,,,,,,,
Privacy Icons,Privacy icons and legal terms,https://wiki.mozilla.org/Privacy_Icons,Icons for Meaning Making: Terms,,,,,,,,Privacy Icons,,,,,,,,,,,,,,,,,,,
iubenda,Enterprise policy and regulatory services.,https://www.iubenda.com/en/,,,,,,,,,iubenda,,,,,,,,,,,,,,,,,,,
Dataportability . org,Data Portability Standard?,http://dataportability.org/,,,,,,,,,Dataportability . org,,,,,,,,,,,,,,,,,,,
The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),Certification,https://standards.ieee.org/industry-connections/ecpais.html,,,,,,,,,The Ethics Certification Program for Autonomous and Intelligent Systems (ECPAIS),,,,,,,,,,,,,,,,,,,
TrustArc / Trust-e,Enterprise privacy certification,https://www.trustarc.com/products/privacy-platform/trustarc-privacy-data-governance-framework/,,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Digital Standard,"The Digital Standard is an ambitious: open: and collaborative effort to create a digital privacy and security standard to help guide the future design of consumer software: digital platforms and services: and Internet-connected products.
The standard defines and reflects important consumer values that must be addressed in product development: electronics and software-based products should be secure: consumer information should be kept private: ownership rights of consumers should be maintained: and products should be designed to combat harassment and help protect freedom of expression.
Our goals are to enable consumer organizations to test: evaluate: and report on whether new products protect consumer security and privacy: and to empower consumers to make smarter choices about the products they buy.",https://www.thedigitalstandard.org/,,,,,,,,,Consumer Reports: Disconnect: Ranking Digital Rights: The Cyber Independent Testing Lab:,,,,,,,,,,,,,,,,,,,
PrivacyMonitor,Privacy Monitor apps and browser extensions,https://www.privacymonitor.com ,software product (application): Software (Plugin),,,,,,,,PrivacyMonitor,,,,,,,,,,,,,,,,,,,
Customer Commons,No Stalking Human and Legal layer terms. ,http://customercommons.org/,terms,,,,,,,,Customer Commons,,,,,,,,,,,,,,,,,,,
Trusted technology Ecosystem Directory. ,,https://diglife.com/,Service,,,,,,,,Digital Life Collective,,,,,,,,,,,,,,,,,,,
Information Governance Label (enterprise),,https://patientprivacyrights.org/,Terms,,,,,,,,Patient Privacy Rights,,,,,,,,,,,,,,,,,,,
Decentralized Identity Foundation - Reference Implementations ,Technical Specs: Reference Implementations: Industry coordination,https://identity.foundation/ ,open source,,,,,,,,Decentralized Identity Foundation,,,,,,,,,,,,,,,,,,,
Online Trust Alliance (OTA),IoT Trust Framework:  https://www.internetsociety.org/resources/doc/2018/iot-trust-by-design,https://www.internetsociety.org/iot/trust-framework/,,,,,,,,,Online Trust Alliance (OTA),,,,,,,,,,,,,,,,,,,
Trustable Technology Mark,Trustable Technology Certification:  ,https://trustabletech.org/about/,,,,,,,,,Trustable Technology Mark,,,,,,,,,,,,,,,,,,,
Detroit Community Technology Project -> Detroit Digital Justice Coalition,"DiscoTech:  ""DiscoTech"" is short for ""Discovering Technology."" It is is a term coined by the Detroit Digital Justice Coalition which defines a replicable model for a multimedia: mobile neighborhood workshop fair. DiscoTechs are designed so that participants learn more about the impact and possibilities of technology within our communities.

DiscoTechs feature interactive: multimedia workshops designed to demystify: engage: and inform the community about issues of Internet use and ownership: and our communications rights on and offline.",https://alliedmedia.org/ddjc/discotech,,,,,,,,,Detroit Community Technology Project -> Detroit Digital Justice Coalition,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datacommons.org,Publicly available data from open sources (census.gov: NOAA: data.gov: etc.) are vital resources for students and researchers in a variety of disciplines. Unfortunately: processing these datasets is often tedious and cumbersome. Organizations follow distinctive practices for codifying datasets. Combining data from different sources requires mapping common entities (city: county: etc.) and resolving different types of keys/identifiers. This process is time consuming and can increase the likelihood for methodological errors.,https://www.datacommons.org/,,,,,,,,,Google,,,,,,,,,,,,,,,,,,,
Data & Design by LINC,Co-building user journeys compliant with the GDPR and respectful of privacy.,https://design.cnil.fr/en/,,,,,,,,,Data & Design by LINC,,,,,,,,,,,,,,,,,,,
CNIL,To protect personal data: support innovation: preserve individual liberties,https://www.cnil.fr/en/home,,,,,,,,,CNIL,,,,,,,,,,,,,,,,,,,
Platform Cooperativism Consortium,A hub that helps you start: grow: or convert to platform co-ops.,https://platform.coop/,service,,,,,,,,Platform Cooperativism Consortium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rvoke,Quickly and easily manage your data requests in bulk: saving you stress: time and money.," 
https://rvoke.com",,,,,,,,,Rvoke,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Usable Privacy Policy Project,,https://usableprivacy.org/,,,,,,,,,Usable Privacy Project,,,,,,,,,,,,,,,,,,,
Am Unique.org,Learn how identifiable you are on the Internet,https://amiunique.org/,Service,,,,,,,,Am Unique.org,,,,,,,,,,,,,,,,,,,
Common Terms,,http://commonterms.org/,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Notice,,htttp://law.mit.edu/opennotice,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zynga's Privacyville,"Gamification of Privacy Terms. Website privacy policies: like their terms of use agreements: are onerously long: bafflingly complex legal documents that hundreds of millions of people accept without ever reading. As social media sites accrue more and more of our personal information while always developing new ways to exploit our data: they are increasingly targeted by hackers and law enforcement. In short: those long privacy statements: which we never read and which get longer all the time: matter more and more.

That’s why a trio of Yale students have developed a free service for websites called Privacy Simplified. Answer a few questions about your site and PS will generate a series of icons you can display to clearly explain the most important aspects of your privacy policy.",https://readwrite.com/2011/07/07/privacyville_zyngas_new_game_to_educate_users_abou/,Terms,,,,,,,,,, ,,,,,,,,,,,,,,,,,
Yale privacy icon work,Simplified UX for Terms of Service; masters thesis.,https://www.macleans.ca/society/technology/privacy-simplified/,Tearms: Icons for Meaning Making,,,,,,,,,UX reference,,,,,,,,,,defunct?,,,,,,,,
I Agree To (master's thesis),Developed in cooperation with Kantara Initiative:  A nutrition facts label for the information we share online.,http://gregg.io/mfa/,Terms,,usability,,,,,,,UX reference,,,,,,,,,,,,,,,,,,
StandardLabel,Developed in   Kantara Initiative:  A nutrition facts label for the information we share online.,standardlabel.org,Icons for Meaning Making: Terms,,usability,,,,,,,UX reference.,,,,,,,,,,,,,,,,,,
,The Privacy Commons is a project that aims to do for Privacy what the Creative Commons. if you'd like to be involved please email hello at this domain.,standardlabel.com,Software (Plugin) ,,,,,,,,,UX reference.,,,,,,,,,,Inactive,,,,,,,,
Privacy Commons,,privacycommons.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmanciTerms,,https://blogs.harvard.edu/vrm/category/emanciterm/,Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youluh,,http://www.x2xroads.com/,Terms,,,,,,,,,Content source for Customer Commons Terms creation.,,,,,,,,,,Inactive?,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meaningful Consent,"Research grant at Southampton University UK.  

Consent increasingly underpins our digital activities - it underpins the legal contracts we “agree” to when using Social Networking Services and is an important concept in the new European Data Protection regulations.

But often the consent we give is meaningless! We tick the box without knowing what it means: or click the button just to get rid of the message. This poses problems for individuals who aren't aware of their rights and obligations: and for organisations that rely on this meaningless consent as a legal protection.",http://www.meaningfulconsent.org/,,,,,,,,,,Certification Candidate,M.C. Schraefel: Enrico Gerding,,,,,,,,,Active,,,,,,,,
Hide My Ass,Part of Avast.com,https://www.hidemyass.com/en-us/internet-privacy-tools,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Signal,,,software product (application),,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
DuckDuckGo,,,Service,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Brave Browser,,,software product (application),,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Lifescope,,,open source ,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Solid,,,open source,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
One.thing.Less,,https://www.onethingless.com,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
commidfy.us,"commodify.us is a web application that allows people to visualize and license their Facebook data directly to marketers. After exporting it from Facebook and uploading it to commodify.us: users can choose to license their anonymized data under private: fair use: or commercial licenses and effectively cut out the middle man.
",http://commodify.us,,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
Mozilla,Firefox,,software product (application): ,,,,,,,,,Certification Candidate,,,,,,,,,,,,,,,,,,
